Product Name,Current Price,Product Link
Palm Gradient Boots - UK5,£50.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-gradient-boots
Dryrobe V3 - Black (Long Sleeved),£148.50,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/dryrobe-v3-black-long-sleeved-changing-robe
Dryrobe V3 - Black Camo (Long Sleeved),£148.50,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/dryrobe-v3-black-camo-long-sleeved-changing-robe
Dryrobe Car Seat Cover (Single),£42.50,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/dryrobe-car-seat-cover-single-1
Palm Vector Recreational Cag,£93.50,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-vector-recreational-cag
Palm Gradient 3.0,£142.50,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-gradient-boots-30
Whetman Mission Paddler Boot,£55.21,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/whetman-mission-paddler-boot
Palm Rock Shoes,£43.95,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-rock-shoes
Palm High Ten Gloves,£22.75,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-high-ten-gloves
NRS Paddle Wetshoe Fleece Lined Neoprene Boot,£57.76,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/nrs-paddle-wetshoe-fleece-lined-neoprene-boot
Sweet Protection Wanderer II Helmet,£95.20,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/sweet-protection-wanderer-helmet-2
Palm AP4000 Helmet,£38.95,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-ap4000-helmet
Palm Index Socks,£24.50,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-index-socks
WRSi Current Pro Helmet,£111.96,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/wrsi-current-pro-helmet-1
Sweet Protection Rocker Helmet,£175.20,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/sweet-protection-rocker-helmet-1
WRSi Current Helmet,£99.96,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/wrsi-current-helmet-1
Palm Tsangpo Socks,£15.25,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-tsangpo-socks
Palm Stomp Socks,£32.95,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-stomp-socks
Dryrobe Camo Long Sleeved Changing Robe,£130.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/dryrobe-green-camo-long-sleeved-changing-robe
Peak PS Thermal Rashy - Long Sleeved,£45.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/peak-ps-thermal-rashy-long-sleeved
Palm Talon Mitts,£30.50,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-talon-mitts
Palm Shuck Helmet - Full Cut,£79.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-shuck-helmet-full-cut
Peak PS Neoskin Strides,£40.50,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/peak-ps-neoskin-strides-2023
Palm Tora Touring Cag,£119.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-tora-touring-cag
Palm Horizon Shorts,£72.25,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-horizon-shorts-1
Palm Shuck 2.0 Helmet,£112.50,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-shuck-v2-helmet
Sweet Protection Rocker Helmet,£175.20,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/sweet-protection-rocker-helmet
Peak PS Thermal Rashy - Short Sleeved,£40.50,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/peak-ps-thermal-rashy-short-sleeved
Peak PS Neoprene Gloves,£26.10,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/peak-uk-neoprene-gloves-2020
Peak PS Bagz Lined Shorts,£54.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/peak-ps-bagz-lined-shorts-2
Palm Vector Recreational Cag - Women's Fit,£93.50,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-vector-cag-womens
Palm Vantage Touring Cag,£105.50,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-vantage-touring-cag-2
Palm Shoot Boots,£46.75,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-shoot-boots
Palm Quantum Longjohn Wetsuit (Womens),£97.75,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-quantum-longjohn-wetsuit-womens
Palm High Five Kids Gloves,£17.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-high-five-kids-gloves
Peak PS Thermal Rashy Pants,£45.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/peak-ps-thermal-rashy-pants
Peak PS Neoskin Pants - Womens Fit,£45.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/peak-ps-neoskin-pants-womens-fit
Peak PS Neoskin Pants,£45.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/peak-ps-neoskin-pants-2022
Peak PS Neoprene Open Palm Mitts (2022),£25.20,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/peak-uk-neoprene-open-palm-mitts
Peak PS Adventure Double Jacket - Womens Fit - 2023,£238.95,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/peak-uk-adventure-double-jacket-womens-fit-2021
Palm Zenith Semi-Dry Shortie Cag,£140.25,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-zenith-shortsleeve-cag
Palm Velocity Dry Cag,£136.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-velocity-dry-cag
